1> Event: Initialized on 12345 with clock rate 1 | System Time: 2025-02-28 18:56:46 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 18:56:46 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 18:56:46 | Logical Clock: 0 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:56:47 | Logical Clock: 3 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:48 | Logical Clock: 5 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:49 | Logical Clock: 11 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:50 | Logical Clock: 12 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:51 | Logical Clock: 14 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:52 | Logical Clock: 17 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:53 | Logical Clock: 18 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:54 | Logical Clock: 22 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:55 | Logical Clock: 27 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:56 | Logical Clock: 31 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:57 | Logical Clock: 35 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:58 | Logical Clock: 40 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:59 | Logical Clock: 43 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:57:00 | Logical Clock: 45 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:01 | Logical Clock: 46 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:57:02 | Logical Clock: 47 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:03 | Logical Clock: 50 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:04 | Logical Clock: 55 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:05 | Logical Clock: 57 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:57:06 | Logical Clock: 58 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:57:07 | Logical Clock: 68 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:57:08 | Logical Clock: 69 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:57:09 | Logical Clock: 74 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:10 | Logical Clock: 75 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:11 | Logical Clock: 77 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:12 | Logical Clock: 80 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:13 | Logical Clock: 83 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:57:14 | Logical Clock: 84 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:57:15 | Logical Clock: 94 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:57:16 | Logical Clock: 95 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:57:17 | Logical Clock: 99 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:57:18 | Logical Clock: 100 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:19 | Logical Clock: 101 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:57:20 | Logical Clock: 104 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:57:21 | Logical Clock: 107 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 18:57:22 | Logical Clock: 108 | Queue Length: 5
1> Event: Processed message | System Time: 2025-02-28 18:57:23 | Logical Clock: 111 | Queue Length: 6
1> Event: Processed message | System Time: 2025-02-28 18:57:24 | Logical Clock: 113 | Queue Length: 6
1> Event: Processed message | System Time: 2025-02-28 18:57:25 | Logical Clock: 114 | Queue Length: 7
1> Event: Processed message | System Time: 2025-02-28 18:57:26 | Logical Clock: 116 | Queue Length: 7
1> Event: Processed message | System Time: 2025-02-28 18:57:27 | Logical Clock: 117 | Queue Length: 7
1> Event: Processed message | System Time: 2025-02-28 18:57:28 | Logical Clock: 118 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:29 | Logical Clock: 120 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:30 | Logical Clock: 123 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:31 | Logical Clock: 124 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:32 | Logical Clock: 126 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:33 | Logical Clock: 131 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:34 | Logical Clock: 133 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:35 | Logical Clock: 134 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:36 | Logical Clock: 135 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:37 | Logical Clock: 138 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:38 | Logical Clock: 145 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:39 | Logical Clock: 146 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 18:57:40 | Logical Clock: 147 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:41 | Logical Clock: 151 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:42 | Logical Clock: 156 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:43 | Logical Clock: 159 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 18:57:44 | Logical Clock: 162 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 18:57:45 | Logical Clock: 165 | Queue Length: 10
1> Event: Stopped | System Time: 2025-02-28 18:57:46 | Logical Clock: 165 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 18:57:46 | Logical Clock: 166 | Queue Length: 10
