1> Event: Initialized on 12345 with clock rate 2 | System Time: 2025-02-28 17:43:04 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 17:43:04 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 17:43:04 | Logical Clock: 0 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:05 | Logical Clock: 1 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:05 | Logical Clock: 2 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:06 | Logical Clock: 3 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:06 | Logical Clock: 6 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:43:07 | Logical Clock: 7 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:43:07 | Logical Clock: 8 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:08 | Logical Clock: 11 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:08 | Logical Clock: 13 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:43:09 | Logical Clock: 14 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:09 | Logical Clock: 16 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:43:10 | Logical Clock: 17 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:10 | Logical Clock: 18 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:11 | Logical Clock: 20 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:11 | Logical Clock: 22 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:43:12 | Logical Clock: 23 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:12 | Logical Clock: 24 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:13 | Logical Clock: 25 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:43:13 | Logical Clock: 27 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:14 | Logical Clock: 29 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:43:14 | Logical Clock: 30 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:15 | Logical Clock: 32 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:15 | Logical Clock: 34 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:16 | Logical Clock: 35 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:17 | Logical Clock: 37 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:17 | Logical Clock: 39 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:43:18 | Logical Clock: 40 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:18 | Logical Clock: 42 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:43:19 | Logical Clock: 43 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:19 | Logical Clock: 44 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:20 | Logical Clock: 45 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:20 | Logical Clock: 46 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:21 | Logical Clock: 50 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:43:21 | Logical Clock: 51 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:22 | Logical Clock: 52 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:22 | Logical Clock: 53 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:23 | Logical Clock: 54 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:23 | Logical Clock: 57 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:43:24 | Logical Clock: 58 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:43:24 | Logical Clock: 59 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:24 | Logical Clock: 59 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:25 | Logical Clock: 60 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:25 | Logical Clock: 61 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:26 | Logical Clock: 62 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:43:26 | Logical Clock: 68 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:43:27 | Logical Clock: 69 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:43:27 | Logical Clock: 70 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:27 | Logical Clock: 70 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:43:28 | Logical Clock: 71 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:43:28 | Logical Clock: 72 | Queue Length: 0
