2> Event: Initialized on 54321 with clock rate 3 | System Time: 2025-02-28 17:43:04 | Logical Clock: 0 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:20 | Logical Clock: 49 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:21 | Logical Clock: 50 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:21 | Logical Clock: 51 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:21 | Logical Clock: 52 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:22 | Logical Clock: 53 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:22 | Logical Clock: 54 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:22 | Logical Clock: 55 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:23 | Logical Clock: 56 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:23 | Logical Clock: 57 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:23 | Logical Clock: 57 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:23 | Logical Clock: 58 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:24 | Logical Clock: 60 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:43:24 | Logical Clock: 61 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:43:24 | Logical Clock: 62 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:25 | Logical Clock: 63 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:25 | Logical Clock: 64 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:25 | Logical Clock: 65 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:26 | Logical Clock: 66 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:26 | Logical Clock: 67 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:26 | Logical Clock: 67 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:26 | Logical Clock: 68 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:27 | Logical Clock: 69 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:27 | Logical Clock: 70 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:27 | Logical Clock: 71 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:28 | Logical Clock: 72 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:28 | Logical Clock: 73 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:28 | Logical Clock: 74 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:29 | Logical Clock: 75 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:29 | Logical Clock: 76 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:29 | Logical Clock: 77 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:30 | Logical Clock: 78 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:30 | Logical Clock: 79 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:30 | Logical Clock: 80 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:31 | Logical Clock: 81 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:31 | Logical Clock: 82 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:31 | Logical Clock: 84 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:32 | Logical Clock: 85 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:32 | Logical Clock: 86 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:32 | Logical Clock: 87 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:43:33 | Logical Clock: 88 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:33 | Logical Clock: 89 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:33 | Logical Clock: 90 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:34 | Logical Clock: 91 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:34 | Logical Clock: 92 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:34 | Logical Clock: 94 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:35 | Logical Clock: 95 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:35 | Logical Clock: 96 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:35 | Logical Clock: 96 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:35 | Logical Clock: 97 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:36 | Logical Clock: 98 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:36 | Logical Clock: 100 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:36 | Logical Clock: 101 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:37 | Logical Clock: 102 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:37 | Logical Clock: 103 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:37 | Logical Clock: 104 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:38 | Logical Clock: 105 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:38 | Logical Clock: 106 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:39 | Logical Clock: 107 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:39 | Logical Clock: 108 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:39 | Logical Clock: 109 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:40 | Logical Clock: 110 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:40 | Logical Clock: 111 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:40 | Logical Clock: 112 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:41 | Logical Clock: 113 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:41 | Logical Clock: 115 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:41 | Logical Clock: 116 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:42 | Logical Clock: 117 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:42 | Logical Clock: 117 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:42 | Logical Clock: 118 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:42 | Logical Clock: 119 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:43 | Logical Clock: 120 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:43 | Logical Clock: 122 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:43 | Logical Clock: 123 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:44 | Logical Clock: 124 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:44 | Logical Clock: 125 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:44 | Logical Clock: 126 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:45 | Logical Clock: 127 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:45 | Logical Clock: 127 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:45 | Logical Clock: 128 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:45 | Logical Clock: 129 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:46 | Logical Clock: 130 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:46 | Logical Clock: 131 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:46 | Logical Clock: 132 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:47 | Logical Clock: 134 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:43:47 | Logical Clock: 135 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:47 | Logical Clock: 136 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:48 | Logical Clock: 137 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:48 | Logical Clock: 138 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:48 | Logical Clock: 139 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:49 | Logical Clock: 140 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:49 | Logical Clock: 141 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:49 | Logical Clock: 142 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:50 | Logical Clock: 143 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:50 | Logical Clock: 144 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:50 | Logical Clock: 146 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:51 | Logical Clock: 147 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:51 | Logical Clock: 148 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:51 | Logical Clock: 149 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:52 | Logical Clock: 150 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:52 | Logical Clock: 151 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:52 | Logical Clock: 152 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:52 | Logical Clock: 152 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:53 | Logical Clock: 153 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:53 | Logical Clock: 154 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:53 | Logical Clock: 155 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:54 | Logical Clock: 157 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:54 | Logical Clock: 158 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:54 | Logical Clock: 159 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:55 | Logical Clock: 160 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:43:55 | Logical Clock: 161 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:43:55 | Logical Clock: 162 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:56 | Logical Clock: 163 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:56 | Logical Clock: 164 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:56 | Logical Clock: 165 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:57 | Logical Clock: 166 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:43:57 | Logical Clock: 167 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:43:58 | Logical Clock: 168 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:43:58 | Logical Clock: 169 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:43:58 | Logical Clock: 170 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:59 | Logical Clock: 171 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:59 | Logical Clock: 172 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:43:59 | Logical Clock: 173 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:00 | Logical Clock: 174 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:44:00 | Logical Clock: 175 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:44:00 | Logical Clock: 176 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:44:01 | Logical Clock: 177 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:01 | Logical Clock: 178 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:44:01 | Logical Clock: 180 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:44:02 | Logical Clock: 181 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:44:02 | Logical Clock: 182 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:44:02 | Logical Clock: 183 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:44:03 | Logical Clock: 184 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:44:03 | Logical Clock: 185 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:44:03 | Logical Clock: 186 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:44:04 | Logical Clock: 187 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:44:04 | Logical Clock: 188 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:44:04 | Logical Clock: 189 | Queue Length: 0
2> Event: Stopped | System Time: 2025-02-28 17:44:04 | Logical Clock: 189 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:44:05 | Logical Clock: 190 | Queue Length: 0
