1> Event: Initialized on 12345 with clock rate 2 | System Time: 2025-02-28 17:46:09 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 17:46:09 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 17:46:09 | Logical Clock: 0 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:46:09 | Logical Clock: 2 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:10 | Logical Clock: 3 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:46:10 | Logical Clock: 4 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:46:11 | Logical Clock: 8 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:46:11 | Logical Clock: 14 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:12 | Logical Clock: 15 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:12 | Logical Clock: 17 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:13 | Logical Clock: 18 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:13 | Logical Clock: 20 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:46:14 | Logical Clock: 21 | Queue Length: 5
1> Event: Processed message | System Time: 2025-02-28 17:46:14 | Logical Clock: 22 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:46:15 | Logical Clock: 26 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:15 | Logical Clock: 28 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:16 | Logical Clock: 29 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:16 | Logical Clock: 37 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:17 | Logical Clock: 43 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:17 | Logical Clock: 45 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:18 | Logical Clock: 47 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:18 | Logical Clock: 50 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:19 | Logical Clock: 52 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:19 | Logical Clock: 53 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:20 | Logical Clock: 56 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:20 | Logical Clock: 57 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:21 | Logical Clock: 63 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:21 | Logical Clock: 66 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:22 | Logical Clock: 72 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:22 | Logical Clock: 74 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:46:23 | Logical Clock: 75 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:46:23 | Logical Clock: 83 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:24 | Logical Clock: 84 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:24 | Logical Clock: 86 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:25 | Logical Clock: 87 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:25 | Logical Clock: 92 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:46:26 | Logical Clock: 98 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:46:26 | Logical Clock: 101 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:27 | Logical Clock: 103 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:46:27 | Logical Clock: 104 | Queue Length: 5
1> Event: Processed message | System Time: 2025-02-28 17:46:28 | Logical Clock: 105 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:46:28 | Logical Clock: 106 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:46:29 | Logical Clock: 107 | Queue Length: 6
1> Event: Processed message | System Time: 2025-02-28 17:46:29 | Logical Clock: 108 | Queue Length: 7
1> Event: Processed message | System Time: 2025-02-28 17:46:30 | Logical Clock: 115 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:30 | Logical Clock: 116 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 17:46:31 | Logical Clock: 117 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:31 | Logical Clock: 118 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:32 | Logical Clock: 119 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:32 | Logical Clock: 120 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:33 | Logical Clock: 121 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:33 | Logical Clock: 123 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:34 | Logical Clock: 124 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 17:46:34 | Logical Clock: 125 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:35 | Logical Clock: 126 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:36 | Logical Clock: 131 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:36 | Logical Clock: 133 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 17:46:37 | Logical Clock: 136 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:46:37 | Logical Clock: 141 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 17:46:38 | Logical Clock: 143 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 17:46:38 | Logical Clock: 148 | Queue Length: 7
1> Event: Processed message | System Time: 2025-02-28 17:46:39 | Logical Clock: 149 | Queue Length: 6
1> Event: Processed message | System Time: 2025-02-28 17:46:39 | Logical Clock: 153 | Queue Length: 6
1> Event: Processed message | System Time: 2025-02-28 17:46:40 | Logical Clock: 155 | Queue Length: 5
1> Event: Processed message | System Time: 2025-02-28 17:46:40 | Logical Clock: 161 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:46:41 | Logical Clock: 162 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:41 | Logical Clock: 168 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:42 | Logical Clock: 174 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:42 | Logical Clock: 187 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:46:43 | Logical Clock: 193 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:43 | Logical Clock: 194 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:44 | Logical Clock: 200 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:46:44 | Logical Clock: 201 | Queue Length: 2
