3> Event: Initialized on 8080 with clock rate 4 | System Time: 2025-02-28 17:46:09 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 17:46:09 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 17:46:09 | Logical Clock: 0 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:09 | Logical Clock: 2 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 17:46:09 | Logical Clock: 3 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:09 | Logical Clock: 4 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:10 | Logical Clock: 5 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:10 | Logical Clock: 6 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:10 | Logical Clock: 7 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:10 | Logical Clock: 7 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:10 | Logical Clock: 8 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:11 | Logical Clock: 9 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:11 | Logical Clock: 10 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:11 | Logical Clock: 10 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:11 | Logical Clock: 11 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:11 | Logical Clock: 12 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:12 | Logical Clock: 13 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:12 | Logical Clock: 14 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:12 | Logical Clock: 15 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:13 | Logical Clock: 16 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:13 | Logical Clock: 17 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:13 | Logical Clock: 17 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:13 | Logical Clock: 18 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:13 | Logical Clock: 19 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:14 | Logical Clock: 20 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:14 | Logical Clock: 21 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:14 | Logical Clock: 22 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:14 | Logical Clock: 23 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:15 | Logical Clock: 35 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:15 | Logical Clock: 36 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:15 | Logical Clock: 37 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:15 | Logical Clock: 38 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:16 | Logical Clock: 39 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:16 | Logical Clock: 40 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:16 | Logical Clock: 43 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 17:46:16 | Logical Clock: 44 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:17 | Logical Clock: 45 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:17 | Logical Clock: 47 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:17 | Logical Clock: 48 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:17 | Logical Clock: 49 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:18 | Logical Clock: 50 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:18 | Logical Clock: 51 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:18 | Logical Clock: 52 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:18 | Logical Clock: 53 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:19 | Logical Clock: 54 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:19 | Logical Clock: 55 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:19 | Logical Clock: 55 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:19 | Logical Clock: 56 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:19 | Logical Clock: 56 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:19 | Logical Clock: 57 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:20 | Logical Clock: 58 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:20 | Logical Clock: 66 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:20 | Logical Clock: 67 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:20 | Logical Clock: 68 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:21 | Logical Clock: 69 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:21 | Logical Clock: 72 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:21 | Logical Clock: 73 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:21 | Logical Clock: 75 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:22 | Logical Clock: 76 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:22 | Logical Clock: 77 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:22 | Logical Clock: 78 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:23 | Logical Clock: 80 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 17:46:23 | Logical Clock: 81 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:23 | Logical Clock: 82 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:23 | Logical Clock: 82 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:23 | Logical Clock: 84 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 17:46:24 | Logical Clock: 86 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 17:46:24 | Logical Clock: 87 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:24 | Logical Clock: 88 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:24 | Logical Clock: 89 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:25 | Logical Clock: 92 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:25 | Logical Clock: 93 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:25 | Logical Clock: 94 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:25 | Logical Clock: 95 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:26 | Logical Clock: 98 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:26 | Logical Clock: 99 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:26 | Logical Clock: 101 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:26 | Logical Clock: 102 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:27 | Logical Clock: 103 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:27 | Logical Clock: 104 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:27 | Logical Clock: 105 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:27 | Logical Clock: 106 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:28 | Logical Clock: 107 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:28 | Logical Clock: 112 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:28 | Logical Clock: 113 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:28 | Logical Clock: 115 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:29 | Logical Clock: 116 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:29 | Logical Clock: 117 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:29 | Logical Clock: 118 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:29 | Logical Clock: 119 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:30 | Logical Clock: 120 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:30 | Logical Clock: 124 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 17:46:30 | Logical Clock: 125 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 17:46:30 | Logical Clock: 126 | Queue Length: 1
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:31 | Logical Clock: 127 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:31 | Logical Clock: 128 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:31 | Logical Clock: 131 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:31 | Logical Clock: 132 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:32 | Logical Clock: 133 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:32 | Logical Clock: 134 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:32 | Logical Clock: 135 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:32 | Logical Clock: 138 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:33 | Logical Clock: 139 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:33 | Logical Clock: 141 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:33 | Logical Clock: 142 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:34 | Logical Clock: 143 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:34 | Logical Clock: 144 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:34 | Logical Clock: 145 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:34 | Logical Clock: 146 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:35 | Logical Clock: 150 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:35 | Logical Clock: 151 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:35 | Logical Clock: 152 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:46:35 | Logical Clock: 155 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:46:36 | Logical Clock: 156 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:36 | Logical Clock: 157 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:36 | Logical Clock: 158 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:46:36 | Logical Clock: 159 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:46:36 | Logical Clock: 159 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:37 | Logical Clock: 160 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:37 | Logical Clock: 161 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:37 | Logical Clock: 162 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:46:37 | Logical Clock: 163 | Queue Length: 0
