2> Event: Initialized on 54321 with clock rate 4 | System Time: 2025-02-28 17:45:07 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 17:45:07 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 17:45:07 | Logical Clock: 0 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:45:08 | Logical Clock: 1 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:08 | Logical Clock: 2 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:08 | Logical Clock: 3 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:08 | Logical Clock: 4 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:45:09 | Logical Clock: 5 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:09 | Logical Clock: 6 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:45:09 | Logical Clock: 7 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:45:09 | Logical Clock: 8 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:10 | Logical Clock: 9 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:10 | Logical Clock: 10 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:45:10 | Logical Clock: 11 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:45:10 | Logical Clock: 12 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:11 | Logical Clock: 13 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:11 | Logical Clock: 14 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:45:11 | Logical Clock: 15 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:45:11 | Logical Clock: 16 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:12 | Logical Clock: 17 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:45:12 | Logical Clock: 17 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:12 | Logical Clock: 18 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:12 | Logical Clock: 19 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:12 | Logical Clock: 20 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:13 | Logical Clock: 21 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:13 | Logical Clock: 22 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:13 | Logical Clock: 23 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:45:13 | Logical Clock: 24 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:45:14 | Logical Clock: 25 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:14 | Logical Clock: 26 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:45:14 | Logical Clock: 27 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:45:15 | Logical Clock: 28 | Queue Length: 1
