1> Event: Initialized on 12345 with clock rate 2 | System Time: 2025-02-28 17:45:07 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 17:45:07 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 17:45:07 | Logical Clock: 0 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:08 | Logical Clock: 2 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:45:08 | Logical Clock: 3 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:09 | Logical Clock: 6 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:09 | Logical Clock: 7 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:10 | Logical Clock: 9 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:45:10 | Logical Clock: 10 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:11 | Logical Clock: 13 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:45:11 | Logical Clock: 14 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:12 | Logical Clock: 18 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:45:12 | Logical Clock: 19 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:13 | Logical Clock: 20 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:45:13 | Logical Clock: 21 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:13 | Logical Clock: 21 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:14 | Logical Clock: 25 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:45:14 | Logical Clock: 26 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:14 | Logical Clock: 26 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:15 | Logical Clock: 27 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:15 | Logical Clock: 30 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:16 | Logical Clock: 33 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:45:16 | Logical Clock: 34 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:17 | Logical Clock: 37 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:45:17 | Logical Clock: 39 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:18 | Logical Clock: 40 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:18 | Logical Clock: 45 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:45:19 | Logical Clock: 46 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:19 | Logical Clock: 47 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:20 | Logical Clock: 48 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:21 | Logical Clock: 52 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:45:21 | Logical Clock: 53 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:22 | Logical Clock: 54 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:45:22 | Logical Clock: 55 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:22 | Logical Clock: 55 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:23 | Logical Clock: 56 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:23 | Logical Clock: 57 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:24 | Logical Clock: 65 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:24 | Logical Clock: 69 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:25 | Logical Clock: 71 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:25 | Logical Clock: 73 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:45:26 | Logical Clock: 74 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:45:26 | Logical Clock: 75 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:26 | Logical Clock: 75 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:27 | Logical Clock: 76 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:27 | Logical Clock: 77 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:45:28 | Logical Clock: 78 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:28 | Logical Clock: 79 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:29 | Logical Clock: 86 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:29 | Logical Clock: 88 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:30 | Logical Clock: 89 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:45:30 | Logical Clock: 90 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:45:30 | Logical Clock: 90 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:31 | Logical Clock: 91 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:31 | Logical Clock: 94 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:45:32 | Logical Clock: 95 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:45:32 | Logical Clock: 96 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:45:33 | Logical Clock: 102 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:45:33 | Logical Clock: 103 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:45:34 | Logical Clock: 104 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:45:34 | Logical Clock: 105 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:45:35 | Logical Clock: 106 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 17:45:35 | Logical Clock: 107 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:45:36 | Logical Clock: 108 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 17:45:36 | Logical Clock: 109 | Queue Length: 3
