3> Event: Initialized on 8080 with clock rate 3 | System Time: 2025-02-28 17:44:06 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 17:44:06 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 17:44:06 | Logical Clock: 0 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:06 | Logical Clock: 1 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:44:07 | Logical Clock: 3 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 17:44:07 | Logical Clock: 5 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 17:44:07 | Logical Clock: 6 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 17:44:08 | Logical Clock: 7 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:44:08 | Logical Clock: 8 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:08 | Logical Clock: 9 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:44:08 | Logical Clock: 9 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:44:09 | Logical Clock: 14 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:09 | Logical Clock: 15 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:09 | Logical Clock: 16 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:44:10 | Logical Clock: 18 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 17:44:10 | Logical Clock: 19 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:10 | Logical Clock: 20 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:11 | Logical Clock: 21 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:11 | Logical Clock: 22 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:44:11 | Logical Clock: 22 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:11 | Logical Clock: 23 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:44:11 | Logical Clock: 23 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:44:12 | Logical Clock: 29 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 17:44:12 | Logical Clock: 30 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 17:44:12 | Logical Clock: 31 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:13 | Logical Clock: 32 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:13 | Logical Clock: 33 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:44:13 | Logical Clock: 37 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:14 | Logical Clock: 38 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:44:14 | Logical Clock: 38 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:14 | Logical Clock: 39 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:44:14 | Logical Clock: 43 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:15 | Logical Clock: 44 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:44:15 | Logical Clock: 44 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:15 | Logical Clock: 45 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:15 | Logical Clock: 46 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:44:15 | Logical Clock: 46 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:16 | Logical Clock: 47 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:16 | Logical Clock: 48 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:16 | Logical Clock: 49 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:17 | Logical Clock: 50 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:17 | Logical Clock: 51 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 17:44:17 | Logical Clock: 58 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:18 | Logical Clock: 59 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:18 | Logical Clock: 60 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:18 | Logical Clock: 61 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:19 | Logical Clock: 62 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 17:44:19 | Logical Clock: 63 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 17:44:19 | Logical Clock: 63 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 17:44:19 | Logical Clock: 64 | Queue Length: 0
