1> Event: Initialized on 12345 with clock rate 1 | System Time: 2025-02-28 17:44:06 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 17:44:06 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 17:44:06 | Logical Clock: 0 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:44:07 | Logical Clock: 1 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:44:08 | Logical Clock: 6 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:44:09 | Logical Clock: 10 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:44:10 | Logical Clock: 14 | Queue Length: 5
1> Event: Processed message | System Time: 2025-02-28 17:44:11 | Logical Clock: 16 | Queue Length: 6
1> Event: Processed message | System Time: 2025-02-28 17:44:12 | Logical Clock: 18 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 17:44:13 | Logical Clock: 19 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 17:44:14 | Logical Clock: 20 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 17:44:15 | Logical Clock: 21 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 17:44:16 | Logical Clock: 22 | Queue Length: 12
1> Event: Processed message | System Time: 2025-02-28 17:44:17 | Logical Clock: 23 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 17:44:18 | Logical Clock: 24 | Queue Length: 12
1> Event: Processed message | System Time: 2025-02-28 17:44:19 | Logical Clock: 29 | Queue Length: 12
1> Event: Processed message | System Time: 2025-02-28 17:44:20 | Logical Clock: 30 | Queue Length: 12
1> Event: Processed message | System Time: 2025-02-28 17:44:21 | Logical Clock: 32 | Queue Length: 13
1> Event: Processed message | System Time: 2025-02-28 17:44:22 | Logical Clock: 33 | Queue Length: 12
1> Event: Processed message | System Time: 2025-02-28 17:44:23 | Logical Clock: 38 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 17:44:24 | Logical Clock: 39 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 17:44:25 | Logical Clock: 45 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 17:44:26 | Logical Clock: 48 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 17:44:27 | Logical Clock: 49 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 17:44:28 | Logical Clock: 52 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 17:44:29 | Logical Clock: 60 | Queue Length: 10
1> Event: Processed message | System Time: 2025-02-28 17:44:30 | Logical Clock: 65 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 17:44:31 | Logical Clock: 66 | Queue Length: 12
1> Event: Processed message | System Time: 2025-02-28 17:44:32 | Logical Clock: 72 | Queue Length: 13
1> Event: Processed message | System Time: 2025-02-28 17:44:33 | Logical Clock: 73 | Queue Length: 13
1> Event: Processed message | System Time: 2025-02-28 17:44:34 | Logical Clock: 91 | Queue Length: 15
1> Event: Processed message | System Time: 2025-02-28 17:44:35 | Logical Clock: 92 | Queue Length: 17
1> Event: Processed message | System Time: 2025-02-28 17:44:36 | Logical Clock: 102 | Queue Length: 16
1> Event: Processed message | System Time: 2025-02-28 17:44:37 | Logical Clock: 108 | Queue Length: 17
1> Event: Processed message | System Time: 2025-02-28 17:44:38 | Logical Clock: 110 | Queue Length: 18
1> Event: Processed message | System Time: 2025-02-28 17:44:39 | Logical Clock: 118 | Queue Length: 17
1> Event: Processed message | System Time: 2025-02-28 17:44:40 | Logical Clock: 119 | Queue Length: 17
1> Event: Processed message | System Time: 2025-02-28 17:44:41 | Logical Clock: 123 | Queue Length: 17
1> Event: Processed message | System Time: 2025-02-28 17:44:42 | Logical Clock: 125 | Queue Length: 17
1> Event: Processed message | System Time: 2025-02-28 17:44:43 | Logical Clock: 126 | Queue Length: 19
1> Event: Processed message | System Time: 2025-02-28 17:44:44 | Logical Clock: 130 | Queue Length: 18
1> Event: Processed message | System Time: 2025-02-28 17:44:45 | Logical Clock: 135 | Queue Length: 19
1> Event: Processed message | System Time: 2025-02-28 17:44:46 | Logical Clock: 136 | Queue Length: 19
1> Event: Processed message | System Time: 2025-02-28 17:44:47 | Logical Clock: 137 | Queue Length: 18
1> Event: Processed message | System Time: 2025-02-28 17:44:48 | Logical Clock: 138 | Queue Length: 19
1> Event: Processed message | System Time: 2025-02-28 17:44:49 | Logical Clock: 139 | Queue Length: 20
1> Event: Processed message | System Time: 2025-02-28 17:44:50 | Logical Clock: 144 | Queue Length: 21
1> Event: Processed message | System Time: 2025-02-28 17:44:51 | Logical Clock: 145 | Queue Length: 21
1> Event: Processed message | System Time: 2025-02-28 17:44:52 | Logical Clock: 146 | Queue Length: 22
1> Event: Processed message | System Time: 2025-02-28 17:44:53 | Logical Clock: 147 | Queue Length: 21
1> Event: Processed message | System Time: 2025-02-28 17:44:54 | Logical Clock: 157 | Queue Length: 21
1> Event: Processed message | System Time: 2025-02-28 17:44:55 | Logical Clock: 160 | Queue Length: 21
1> Event: Processed message | System Time: 2025-02-28 17:44:56 | Logical Clock: 169 | Queue Length: 20
1> Event: Processed message | System Time: 2025-02-28 17:44:57 | Logical Clock: 173 | Queue Length: 22
