2> Event: Initialized on 54321 with clock rate 1 | System Time: 2025-02-28 19:04:44 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 19:04:44 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 19:04:44 | Logical Clock: 0 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:45 | Logical Clock: 3 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:46 | Logical Clock: 5 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:47 | Logical Clock: 11 | Queue Length: 4
2> Event: Processed message | System Time: 2025-02-28 19:04:48 | Logical Clock: 14 | Queue Length: 4
2> Event: Processed message | System Time: 2025-02-28 19:04:49 | Logical Clock: 17 | Queue Length: 4
2> Event: Processed message | System Time: 2025-02-28 19:04:50 | Logical Clock: 18 | Queue Length: 8
2> Event: Processed message | System Time: 2025-02-28 19:04:51 | Logical Clock: 20 | Queue Length: 12
2> Event: Processed message | System Time: 2025-02-28 19:04:52 | Logical Clock: 26 | Queue Length: 13
2> Event: Processed message | System Time: 2025-02-28 19:04:53 | Logical Clock: 31 | Queue Length: 12
2> Event: Processed message | System Time: 2025-02-28 19:04:54 | Logical Clock: 32 | Queue Length: 15
2> Event: Processed message | System Time: 2025-02-28 19:04:55 | Logical Clock: 34 | Queue Length: 16
2> Event: Processed message | System Time: 2025-02-28 19:04:56 | Logical Clock: 35 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:04:57 | Logical Clock: 36 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:04:58 | Logical Clock: 37 | Queue Length: 21
2> Event: Processed message | System Time: 2025-02-28 19:04:59 | Logical Clock: 38 | Queue Length: 22
2> Event: Processed message | System Time: 2025-02-28 19:05:00 | Logical Clock: 40 | Queue Length: 22
2> Event: Processed message | System Time: 2025-02-28 19:05:01 | Logical Clock: 41 | Queue Length: 24
2> Event: Processed message | System Time: 2025-02-28 19:05:02 | Logical Clock: 42 | Queue Length: 24
2> Event: Processed message | System Time: 2025-02-28 19:05:03 | Logical Clock: 44 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:05:04 | Logical Clock: 45 | Queue Length: 27
2> Event: Processed message | System Time: 2025-02-28 19:05:06 | Logical Clock: 54 | Queue Length: 32
2> Event: Processed message | System Time: 2025-02-28 19:05:07 | Logical Clock: 55 | Queue Length: 36
2> Event: Processed message | System Time: 2025-02-28 19:05:08 | Logical Clock: 58 | Queue Length: 35
2> Event: Processed message | System Time: 2025-02-28 19:05:09 | Logical Clock: 59 | Queue Length: 36
2> Event: Processed message | System Time: 2025-02-28 19:05:10 | Logical Clock: 60 | Queue Length: 38
2> Event: Processed message | System Time: 2025-02-28 19:05:11 | Logical Clock: 64 | Queue Length: 39
2> Event: Processed message | System Time: 2025-02-28 19:05:12 | Logical Clock: 66 | Queue Length: 39
2> Event: Processed message | System Time: 2025-02-28 19:05:13 | Logical Clock: 70 | Queue Length: 40
2> Event: Processed message | System Time: 2025-02-28 19:05:14 | Logical Clock: 73 | Queue Length: 41
2> Event: Processed message | System Time: 2025-02-28 19:05:15 | Logical Clock: 74 | Queue Length: 43
2> Event: Processed message | System Time: 2025-02-28 19:05:16 | Logical Clock: 79 | Queue Length: 45
2> Event: Processed message | System Time: 2025-02-28 19:05:17 | Logical Clock: 80 | Queue Length: 47
2> Event: Processed message | System Time: 2025-02-28 19:05:18 | Logical Clock: 81 | Queue Length: 47
2> Event: Processed message | System Time: 2025-02-28 19:05:19 | Logical Clock: 82 | Queue Length: 50
2> Event: Processed message | System Time: 2025-02-28 19:05:20 | Logical Clock: 86 | Queue Length: 52
