1> Event: Initialized on 12345 with clock rate 3 | System Time: 2025-02-28 19:04:44 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 19:04:44 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 19:04:44 | Logical Clock: 0 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:04:45 | Logical Clock: 2 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 19:04:45 | Logical Clock: 3 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:04:45 | Logical Clock: 5 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 19:04:46 | Logical Clock: 6 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 19:04:46 | Logical Clock: 7 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:04:46 | Logical Clock: 11 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 19:04:47 | Logical Clock: 12 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:04:47 | Logical Clock: 15 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 19:04:47 | Logical Clock: 16 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 19:04:48 | Logical Clock: 17 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:48 | Logical Clock: 21 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 19:04:48 | Logical Clock: 22 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:49 | Logical Clock: 26 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:49 | Logical Clock: 27 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 19:04:50 | Logical Clock: 28 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 19:04:50 | Logical Clock: 30 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:50 | Logical Clock: 34 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 19:04:51 | Logical Clock: 35 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:04:51 | Logical Clock: 38 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:51 | Logical Clock: 40 | Queue Length: 1
1> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:52 | Logical Clock: 41 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:04:52 | Logical Clock: 44 | Queue Length: 1
1> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:52 | Logical Clock: 45 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:53 | Logical Clock: 46 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 19:04:53 | Logical Clock: 47 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 19:04:53 | Logical Clock: 48 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 19:04:54 | Logical Clock: 49 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:54 | Logical Clock: 49 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 19:04:54 | Logical Clock: 50 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:04:54 | Logical Clock: 58 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:55 | Logical Clock: 59 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 19:04:55 | Logical Clock: 60 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:55 | Logical Clock: 64 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:56 | Logical Clock: 65 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:56 | Logical Clock: 67 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 19:04:56 | Logical Clock: 69 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 19:04:57 | Logical Clock: 70 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 19:04:57 | Logical Clock: 71 | Queue Length: 0
