1> Event: Initialized on 12345 with clock rate 4 | System Time: 2025-02-28 17:42:03 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 17:42:03 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 17:42:03 | Logical Clock: 0 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:03 | Logical Clock: 1 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:03 | Logical Clock: 2 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:04 | Logical Clock: 4 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:04 | Logical Clock: 5 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:04 | Logical Clock: 6 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:04 | Logical Clock: 7 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:05 | Logical Clock: 8 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:05 | Logical Clock: 9 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:05 | Logical Clock: 12 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:06 | Logical Clock: 13 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:06 | Logical Clock: 14 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:06 | Logical Clock: 14 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:06 | Logical Clock: 15 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:06 | Logical Clock: 16 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:07 | Logical Clock: 19 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:07 | Logical Clock: 20 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:07 | Logical Clock: 20 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:07 | Logical Clock: 21 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:07 | Logical Clock: 22 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:08 | Logical Clock: 23 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:08 | Logical Clock: 24 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:08 | Logical Clock: 27 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:08 | Logical Clock: 28 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:09 | Logical Clock: 30 | Queue Length: 1
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:09 | Logical Clock: 31 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:09 | Logical Clock: 32 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:09 | Logical Clock: 33 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:09 | Logical Clock: 33 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:10 | Logical Clock: 34 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:10 | Logical Clock: 35 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:10 | Logical Clock: 36 | Queue Length: 1
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:10 | Logical Clock: 37 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:11 | Logical Clock: 41 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:42:11 | Logical Clock: 42 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:11 | Logical Clock: 43 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:11 | Logical Clock: 44 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:12 | Logical Clock: 45 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:12 | Logical Clock: 46 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:12 | Logical Clock: 47 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:12 | Logical Clock: 48 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:13 | Logical Clock: 49 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:13 | Logical Clock: 50 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:13 | Logical Clock: 51 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:13 | Logical Clock: 52 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:14 | Logical Clock: 53 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:14 | Logical Clock: 54 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:14 | Logical Clock: 55 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:14 | Logical Clock: 56 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:15 | Logical Clock: 57 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:15 | Logical Clock: 58 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:15 | Logical Clock: 63 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:15 | Logical Clock: 64 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:16 | Logical Clock: 65 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:16 | Logical Clock: 66 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:16 | Logical Clock: 67 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:17 | Logical Clock: 68 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:17 | Logical Clock: 69 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:17 | Logical Clock: 70 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:17 | Logical Clock: 71 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:18 | Logical Clock: 72 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:18 | Logical Clock: 73 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:18 | Logical Clock: 74 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:18 | Logical Clock: 75 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:19 | Logical Clock: 76 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:19 | Logical Clock: 77 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:19 | Logical Clock: 78 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:19 | Logical Clock: 83 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:20 | Logical Clock: 84 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:20 | Logical Clock: 85 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:20 | Logical Clock: 86 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:20 | Logical Clock: 86 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:20 | Logical Clock: 87 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:21 | Logical Clock: 88 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:21 | Logical Clock: 89 | Queue Length: 1
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:21 | Logical Clock: 90 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:21 | Logical Clock: 91 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:21 | Logical Clock: 91 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 17:42:22 | Logical Clock: 92 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:22 | Logical Clock: 95 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 17:42:22 | Logical Clock: 97 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:22 | Logical Clock: 98 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:23 | Logical Clock: 99 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:23 | Logical Clock: 100 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:42:23 | Logical Clock: 101 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:23 | Logical Clock: 102 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:24 | Logical Clock: 104 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 17:42:24 | Logical Clock: 105 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 17:42:24 | Logical Clock: 106 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 17:42:24 | Logical Clock: 107 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:25 | Logical Clock: 108 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 17:42:25 | Logical Clock: 109 | Queue Length: 0
