2> Event: Initialized on 54321 with clock rate 2 | System Time: 2025-02-28 17:42:03 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 17:42:03 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 17:42:03 | Logical Clock: 0 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:03 | Logical Clock: 3 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:42:04 | Logical Clock: 4 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:42:04 | Logical Clock: 6 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:42:05 | Logical Clock: 9 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:42:05 | Logical Clock: 12 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:42:06 | Logical Clock: 15 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 17:42:06 | Logical Clock: 17 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 17:42:07 | Logical Clock: 19 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 17:42:08 | Logical Clock: 21 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 17:42:08 | Logical Clock: 22 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:42:09 | Logical Clock: 23 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:42:09 | Logical Clock: 24 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:10 | Logical Clock: 34 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:10 | Logical Clock: 35 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:42:10 | Logical Clock: 35 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:42:11 | Logical Clock: 36 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:11 | Logical Clock: 42 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:12 | Logical Clock: 43 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 17:42:12 | Logical Clock: 43 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:12 | Logical Clock: 47 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:42:13 | Logical Clock: 48 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:13 | Logical Clock: 51 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:42:14 | Logical Clock: 52 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:14 | Logical Clock: 53 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:42:15 | Logical Clock: 54 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:15 | Logical Clock: 58 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 17:42:16 | Logical Clock: 59 | Queue Length: 3
2> Event: Processed message | System Time: 2025-02-28 17:42:16 | Logical Clock: 64 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 17:42:17 | Logical Clock: 65 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:42:17 | Logical Clock: 66 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:18 | Logical Clock: 72 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 17:42:18 | Logical Clock: 73 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:42:19 | Logical Clock: 74 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 17:42:19 | Logical Clock: 75 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 17:42:20 | Logical Clock: 76 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 17:42:20 | Logical Clock: 87 | Queue Length: 1
