1> Event: Initialized on 12345 with clock rate 2 | System Time: 2025-02-28 18:58:49 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 18:58:49 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 18:58:49 | Logical Clock: 0 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:49 | Logical Clock: 1 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:50 | Logical Clock: 2 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:50 | Logical Clock: 3 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:51 | Logical Clock: 4 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:58:51 | Logical Clock: 5 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:58:52 | Logical Clock: 9 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:58:53 | Logical Clock: 10 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:58:53 | Logical Clock: 11 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:58:53 | Logical Clock: 11 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:54 | Logical Clock: 12 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:54 | Logical Clock: 13 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:55 | Logical Clock: 14 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:55 | Logical Clock: 15 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:58:56 | Logical Clock: 16 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:58:56 | Logical Clock: 19 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:58:57 | Logical Clock: 22 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:58:57 | Logical Clock: 23 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:58:58 | Logical Clock: 24 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:58:58 | Logical Clock: 25 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:59 | Logical Clock: 26 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:58:59 | Logical Clock: 27 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:59:00 | Logical Clock: 30 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:59:00 | Logical Clock: 31 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:59:00 | Logical Clock: 31 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:59:01 | Logical Clock: 32 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:59:01 | Logical Clock: 34 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:59:02 | Logical Clock: 35 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:59:02 | Logical Clock: 36 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:59:03 | Logical Clock: 37 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:59:03 | Logical Clock: 38 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:59:04 | Logical Clock: 39 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:59:04 | Logical Clock: 44 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:59:05 | Logical Clock: 47 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:59:05 | Logical Clock: 48 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:59:06 | Logical Clock: 49 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:59:06 | Logical Clock: 50 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:59:07 | Logical Clock: 51 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:59:07 | Logical Clock: 52 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:59:08 | Logical Clock: 53 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:59:08 | Logical Clock: 54 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:59:09 | Logical Clock: 55 | Queue Length: 0
