3> Event: Initialized on 8080 with clock rate 2 | System Time: 2025-02-28 18:58:49 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 18:58:49 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 18:58:49 | Logical Clock: 0 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:49 | Logical Clock: 1 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:58:50 | Logical Clock: 2 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:50 | Logical Clock: 3 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:58:51 | Logical Clock: 4 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:58:51 | Logical Clock: 4 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:51 | Logical Clock: 5 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:58:52 | Logical Clock: 9 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:58:53 | Logical Clock: 10 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:58:53 | Logical Clock: 12 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:58:54 | Logical Clock: 13 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:58:54 | Logical Clock: 15 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:58:55 | Logical Clock: 16 | Queue Length: 1
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:58:55 | Logical Clock: 17 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:58:56 | Logical Clock: 18 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:56 | Logical Clock: 19 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:57 | Logical Clock: 20 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:58:57 | Logical Clock: 21 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:58 | Logical Clock: 22 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:58:58 | Logical Clock: 23 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:58:59 | Logical Clock: 28 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:58:59 | Logical Clock: 29 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:59:00 | Logical Clock: 31 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:59:00 | Logical Clock: 32 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:59:01 | Logical Clock: 33 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:59:01 | Logical Clock: 34 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:59:02 | Logical Clock: 38 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:59:02 | Logical Clock: 39 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:59:03 | Logical Clock: 40 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:59:03 | Logical Clock: 41 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:59:04 | Logical Clock: 42 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:59:04 | Logical Clock: 43 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:59:05 | Logical Clock: 47 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:59:05 | Logical Clock: 48 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:59:06 | Logical Clock: 49 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:59:06 | Logical Clock: 50 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:59:07 | Logical Clock: 51 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:59:07 | Logical Clock: 52 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:59:08 | Logical Clock: 53 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:59:08 | Logical Clock: 54 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:59:09 | Logical Clock: 59 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:59:09 | Logical Clock: 60 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:59:10 | Logical Clock: 61 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:59:10 | Logical Clock: 62 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:59:11 | Logical Clock: 63 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:59:11 | Logical Clock: 64 | Queue Length: 0
