2> Event: Processed message | System Time: 2025-02-28 19:03:57 | Logical Clock: 84 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:57 | Logical Clock: 85 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:58 | Logical Clock: 86 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:58 | Logical Clock: 87 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:58 | Logical Clock: 88 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:58 | Logical Clock: 88 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:58 | Logical Clock: 89 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:59 | Logical Clock: 92 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:59 | Logical Clock: 94 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:59 | Logical Clock: 95 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:59 | Logical Clock: 96 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:00 | Logical Clock: 98 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:00 | Logical Clock: 99 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:00 | Logical Clock: 100 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:00 | Logical Clock: 101 | Queue Length: 3
2> Event: Processed message | System Time: 2025-02-28 19:04:01 | Logical Clock: 102 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:01 | Logical Clock: 103 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:04:01 | Logical Clock: 105 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:04:01 | Logical Clock: 108 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:04:02 | Logical Clock: 109 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:04:02 | Logical Clock: 110 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:02 | Logical Clock: 111 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:04:02 | Logical Clock: 112 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:04:03 | Logical Clock: 113 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:04:03 | Logical Clock: 117 | Queue Length: 1
