3> Event: Initialized on 8080 with clock rate 1 | System Time: 2025-02-28 19:03:43 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 19:03:43 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 19:03:43 | Logical Clock: 0 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:03:44 | Logical Clock: 2 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:03:45 | Logical Clock: 4 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:03:46 | Logical Clock: 7 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:03:47 | Logical Clock: 8 | Queue Length: 7
3> Event: Processed message | System Time: 2025-02-28 19:03:48 | Logical Clock: 10 | Queue Length: 8
3> Event: Processed message | System Time: 2025-02-28 19:03:49 | Logical Clock: 17 | Queue Length: 8
3> Event: Processed message | System Time: 2025-02-28 19:03:50 | Logical Clock: 18 | Queue Length: 10
3> Event: Processed message | System Time: 2025-02-28 19:03:51 | Logical Clock: 19 | Queue Length: 12
3> Event: Processed message | System Time: 2025-02-28 19:03:52 | Logical Clock: 20 | Queue Length: 15
3> Event: Processed message | System Time: 2025-02-28 19:03:53 | Logical Clock: 24 | Queue Length: 18
3> Event: Processed message | System Time: 2025-02-28 19:03:54 | Logical Clock: 26 | Queue Length: 19
3> Event: Processed message | System Time: 2025-02-28 19:03:55 | Logical Clock: 27 | Queue Length: 21
3> Event: Processed message | System Time: 2025-02-28 19:03:56 | Logical Clock: 30 | Queue Length: 24
3> Event: Processed message | System Time: 2025-02-28 19:03:57 | Logical Clock: 39 | Queue Length: 24
3> Event: Processed message | System Time: 2025-02-28 19:03:58 | Logical Clock: 42 | Queue Length: 27
3> Event: Processed message | System Time: 2025-02-28 19:03:59 | Logical Clock: 43 | Queue Length: 30
3> Event: Processed message | System Time: 2025-02-28 19:04:00 | Logical Clock: 44 | Queue Length: 30
3> Event: Processed message | System Time: 2025-02-28 19:04:01 | Logical Clock: 45 | Queue Length: 32
3> Event: Processed message | System Time: 2025-02-28 19:04:02 | Logical Clock: 47 | Queue Length: 32
