1> Event: Initialized on 12345 with clock rate 1 | System Time: 2025-02-28 19:05:46 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 19:05:46 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 19:05:46 | Logical Clock: 0 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 19:05:47 | Logical Clock: 3 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 19:05:48 | Logical Clock: 5 | Queue Length: 5
1> Event: Processed message | System Time: 2025-02-28 19:05:49 | Logical Clock: 6 | Queue Length: 5
1> Event: Processed message | System Time: 2025-02-28 19:05:50 | Logical Clock: 8 | Queue Length: 8
1> Event: Processed message | System Time: 2025-02-28 19:05:51 | Logical Clock: 9 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 19:05:52 | Logical Clock: 10 | Queue Length: 9
1> Event: Processed message | System Time: 2025-02-28 19:05:53 | Logical Clock: 16 | Queue Length: 11
1> Event: Processed message | System Time: 2025-02-28 19:05:54 | Logical Clock: 19 | Queue Length: 14
1> Event: Processed message | System Time: 2025-02-28 19:05:55 | Logical Clock: 20 | Queue Length: 16
1> Event: Processed message | System Time: 2025-02-28 19:05:56 | Logical Clock: 22 | Queue Length: 16
1> Event: Processed message | System Time: 2025-02-28 19:05:57 | Logical Clock: 23 | Queue Length: 17
1> Event: Processed message | System Time: 2025-02-28 19:05:58 | Logical Clock: 26 | Queue Length: 18
1> Event: Processed message | System Time: 2025-02-28 19:05:59 | Logical Clock: 29 | Queue Length: 19
1> Event: Processed message | System Time: 2025-02-28 19:06:00 | Logical Clock: 33 | Queue Length: 20
1> Event: Processed message | System Time: 2025-02-28 19:06:01 | Logical Clock: 39 | Queue Length: 20
1> Event: Processed message | System Time: 2025-02-28 19:06:02 | Logical Clock: 40 | Queue Length: 22
1> Event: Processed message | System Time: 2025-02-28 19:06:03 | Logical Clock: 41 | Queue Length: 21
1> Event: Processed message | System Time: 2025-02-28 19:06:04 | Logical Clock: 43 | Queue Length: 21
1> Event: Processed message | System Time: 2025-02-28 19:06:05 | Logical Clock: 45 | Queue Length: 23
1> Event: Processed message | System Time: 2025-02-28 19:06:06 | Logical Clock: 46 | Queue Length: 26
1> Event: Processed message | System Time: 2025-02-28 19:06:07 | Logical Clock: 47 | Queue Length: 27
1> Event: Processed message | System Time: 2025-02-28 19:06:08 | Logical Clock: 48 | Queue Length: 28
1> Event: Processed message | System Time: 2025-02-28 19:06:09 | Logical Clock: 49 | Queue Length: 30
1> Event: Processed message | System Time: 2025-02-28 19:06:10 | Logical Clock: 50 | Queue Length: 31
1> Event: Processed message | System Time: 2025-02-28 19:06:11 | Logical Clock: 55 | Queue Length: 31
1> Event: Processed message | System Time: 2025-02-28 19:06:12 | Logical Clock: 62 | Queue Length: 34
1> Event: Processed message | System Time: 2025-02-28 19:06:13 | Logical Clock: 64 | Queue Length: 35
1> Event: Processed message | System Time: 2025-02-28 19:06:14 | Logical Clock: 68 | Queue Length: 39
1> Event: Processed message | System Time: 2025-02-28 19:06:15 | Logical Clock: 70 | Queue Length: 41
1> Event: Processed message | System Time: 2025-02-28 19:06:16 | Logical Clock: 72 | Queue Length: 41
1> Event: Processed message | System Time: 2025-02-28 19:06:17 | Logical Clock: 76 | Queue Length: 44
1> Event: Processed message | System Time: 2025-02-28 19:06:18 | Logical Clock: 79 | Queue Length: 46
1> Event: Processed message | System Time: 2025-02-28 19:06:19 | Logical Clock: 80 | Queue Length: 45
1> Event: Processed message | System Time: 2025-02-28 19:06:20 | Logical Clock: 86 | Queue Length: 47
