3> Event: Initialized on 8080 with clock rate 2 | System Time: 2025-02-28 19:05:46 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 19:05:46 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 19:05:46 | Logical Clock: 0 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:05:46 | Logical Clock: 2 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:47 | Logical Clock: 3 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:47 | Logical Clock: 8 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:48 | Logical Clock: 9 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:48 | Logical Clock: 12 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:49 | Logical Clock: 18 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:49 | Logical Clock: 20 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:50 | Logical Clock: 24 | Queue Length: 1
3> Event: Sent message to machine 1 | System Time: 2025-02-28 19:05:50 | Logical Clock: 25 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 19:05:50 | Logical Clock: 25 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 19:05:51 | Logical Clock: 29 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:51 | Logical Clock: 33 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:52 | Logical Clock: 36 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:52 | Logical Clock: 38 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 19:05:53 | Logical Clock: 40 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:53 | Logical Clock: 41 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:54 | Logical Clock: 44 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:54 | Logical Clock: 46 | Queue Length: 3
3> Event: Processed message | System Time: 2025-02-28 19:05:55 | Logical Clock: 49 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:05:55 | Logical Clock: 50 | Queue Length: 3
3> Event: Processed message | System Time: 2025-02-28 19:05:56 | Logical Clock: 52 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:57 | Logical Clock: 53 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 19:05:57 | Logical Clock: 62 | Queue Length: 3
3> Event: Processed message | System Time: 2025-02-28 19:05:58 | Logical Clock: 63 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:05:58 | Logical Clock: 64 | Queue Length: 3
3> Event: Processed message | System Time: 2025-02-28 19:05:59 | Logical Clock: 66 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:05:59 | Logical Clock: 68 | Queue Length: 5
3> Event: Processed message | System Time: 2025-02-28 19:06:00 | Logical Clock: 72 | Queue Length: 5
3> Event: Processed message | System Time: 2025-02-28 19:06:00 | Logical Clock: 74 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:06:01 | Logical Clock: 76 | Queue Length: 5
3> Event: Processed message | System Time: 2025-02-28 19:06:01 | Logical Clock: 77 | Queue Length: 5
3> Event: Processed message | System Time: 2025-02-28 19:06:02 | Logical Clock: 79 | Queue Length: 5
3> Event: Processed message | System Time: 2025-02-28 19:06:02 | Logical Clock: 84 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:06:03 | Logical Clock: 85 | Queue Length: 3
3> Event: Processed message | System Time: 2025-02-28 19:06:03 | Logical Clock: 86 | Queue Length: 4
3> Event: Processed message | System Time: 2025-02-28 19:06:04 | Logical Clock: 89 | Queue Length: 6
3> Event: Processed message | System Time: 2025-02-28 19:06:04 | Logical Clock: 99 | Queue Length: 6
3> Event: Processed message | System Time: 2025-02-28 19:06:05 | Logical Clock: 100 | Queue Length: 7
3> Event: Processed message | System Time: 2025-02-28 19:06:05 | Logical Clock: 101 | Queue Length: 7
3> Event: Processed message | System Time: 2025-02-28 19:06:06 | Logical Clock: 102 | Queue Length: 7
3> Event: Processed message | System Time: 2025-02-28 19:06:06 | Logical Clock: 103 | Queue Length: 6
3> Event: Processed message | System Time: 2025-02-28 19:06:07 | Logical Clock: 104 | Queue Length: 5
3> Event: Processed message | System Time: 2025-02-28 19:06:07 | Logical Clock: 107 | Queue Length: 7
3> Event: Processed message | System Time: 2025-02-28 19:06:08 | Logical Clock: 108 | Queue Length: 7
3> Event: Processed message | System Time: 2025-02-28 19:06:08 | Logical Clock: 110 | Queue Length: 8
3> Event: Processed message | System Time: 2025-02-28 19:06:09 | Logical Clock: 114 | Queue Length: 9
3> Event: Processed message | System Time: 2025-02-28 19:06:09 | Logical Clock: 122 | Queue Length: 10
3> Event: Processed message | System Time: 2025-02-28 19:06:10 | Logical Clock: 123 | Queue Length: 10
3> Event: Processed message | System Time: 2025-02-28 19:06:10 | Logical Clock: 124 | Queue Length: 10
3> Event: Processed message | System Time: 2025-02-28 19:06:11 | Logical Clock: 127 | Queue Length: 10
3> Event: Processed message | System Time: 2025-02-28 19:06:11 | Logical Clock: 128 | Queue Length: 11
3> Event: Processed message | System Time: 2025-02-28 19:06:12 | Logical Clock: 129 | Queue Length: 11
3> Event: Processed message | System Time: 2025-02-28 19:06:12 | Logical Clock: 130 | Queue Length: 10
3> Event: Processed message | System Time: 2025-02-28 19:06:13 | Logical Clock: 132 | Queue Length: 11
3> Event: Processed message | System Time: 2025-02-28 19:06:13 | Logical Clock: 134 | Queue Length: 13
3> Event: Processed message | System Time: 2025-02-28 19:06:14 | Logical Clock: 135 | Queue Length: 13
3> Event: Processed message | System Time: 2025-02-28 19:06:14 | Logical Clock: 138 | Queue Length: 15
3> Event: Processed message | System Time: 2025-02-28 19:06:15 | Logical Clock: 141 | Queue Length: 16
