1> Event: Initialized on 12345 with clock rate 1 | System Time: 2025-02-28 18:55:45 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 18:55:45 | Logical Clock: 0 | Queue Length: 0
1> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 18:55:45 | Logical Clock: 0 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:55:46 | Logical Clock: 1 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:55:47 | Logical Clock: 2 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:55:48 | Logical Clock: 8 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:55:49 | Logical Clock: 9 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:55:50 | Logical Clock: 12 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:55:51 | Logical Clock: 13 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:55:52 | Logical Clock: 14 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:55:53 | Logical Clock: 15 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:55:54 | Logical Clock: 26 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:55:55 | Logical Clock: 29 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:55:56 | Logical Clock: 30 | Queue Length: 1
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:55:57 | Logical Clock: 31 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:55:58 | Logical Clock: 38 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:55:59 | Logical Clock: 39 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:00 | Logical Clock: 41 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:01 | Logical Clock: 42 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:02 | Logical Clock: 49 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:03 | Logical Clock: 53 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:04 | Logical Clock: 54 | Queue Length: 1
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:56:05 | Logical Clock: 55 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:56:05 | Logical Clock: 55 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:56:06 | Logical Clock: 63 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:56:07 | Logical Clock: 64 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:56:08 | Logical Clock: 67 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:56:09 | Logical Clock: 68 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:56:10 | Logical Clock: 73 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:11 | Logical Clock: 77 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:12 | Logical Clock: 79 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:13 | Logical Clock: 80 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:14 | Logical Clock: 81 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:15 | Logical Clock: 84 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:16 | Logical Clock: 85 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:17 | Logical Clock: 89 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:18 | Logical Clock: 93 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:19 | Logical Clock: 95 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:20 | Logical Clock: 101 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:21 | Logical Clock: 103 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:22 | Logical Clock: 105 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 18:56:23 | Logical Clock: 107 | Queue Length: 4
1> Event: Processed message | System Time: 2025-02-28 18:56:24 | Logical Clock: 108 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:25 | Logical Clock: 110 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:26 | Logical Clock: 111 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:27 | Logical Clock: 118 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:28 | Logical Clock: 125 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:29 | Logical Clock: 129 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:30 | Logical Clock: 133 | Queue Length: 2
1> Event: Processed message | System Time: 2025-02-28 18:56:31 | Logical Clock: 134 | Queue Length: 1
1> Event: Internal event | System Time: 2025-02-28 18:56:32 | Logical Clock: 135 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:56:33 | Logical Clock: 136 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:56:34 | Logical Clock: 137 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:56:35 | Logical Clock: 138 | Queue Length: 0
1> Event: Internal event | System Time: 2025-02-28 18:56:36 | Logical Clock: 139 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:56:37 | Logical Clock: 140 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:56:38 | Logical Clock: 141 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:56:39 | Logical Clock: 142 | Queue Length: 0
1> Event: Sent message to machine 2 | System Time: 2025-02-28 18:56:40 | Logical Clock: 143 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:56:40 | Logical Clock: 143 | Queue Length: 0
1> Event: Sent message to machine 3 | System Time: 2025-02-28 18:56:41 | Logical Clock: 144 | Queue Length: 0
1> Event: Processed message | System Time: 2025-02-28 18:56:42 | Logical Clock: 170 | Queue Length: 1
1> Event: Processed message | System Time: 2025-02-28 18:56:43 | Logical Clock: 171 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:44 | Logical Clock: 172 | Queue Length: 3
1> Event: Stopped | System Time: 2025-02-28 18:56:45 | Logical Clock: 172 | Queue Length: 3
1> Event: Processed message | System Time: 2025-02-28 18:56:45 | Logical Clock: 173 | Queue Length: 3
