2> Event: Initialized on 54321 with clock rate 3 | System Time: 2025-02-28 19:07:49 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 19:07:49 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 19:07:49 | Logical Clock: 0 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:07:49 | Logical Clock: 2 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:07:49 | Logical Clock: 3 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:49 | Logical Clock: 3 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:07:50 | Logical Clock: 4 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:50 | Logical Clock: 4 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:07:50 | Logical Clock: 5 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:07:50 | Logical Clock: 8 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:07:51 | Logical Clock: 9 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:07:51 | Logical Clock: 12 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:07:51 | Logical Clock: 13 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:07:52 | Logical Clock: 14 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:07:52 | Logical Clock: 15 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:07:52 | Logical Clock: 19 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:07:53 | Logical Clock: 20 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:07:53 | Logical Clock: 22 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:07:53 | Logical Clock: 23 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:54 | Logical Clock: 24 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:54 | Logical Clock: 25 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:07:54 | Logical Clock: 26 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:07:55 | Logical Clock: 27 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:07:55 | Logical Clock: 32 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:07:55 | Logical Clock: 34 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:07:56 | Logical Clock: 35 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:07:56 | Logical Clock: 36 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:07:56 | Logical Clock: 37 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:07:57 | Logical Clock: 38 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:07:57 | Logical Clock: 39 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:57 | Logical Clock: 40 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:07:58 | Logical Clock: 46 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:07:58 | Logical Clock: 48 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:07:58 | Logical Clock: 49 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:07:59 | Logical Clock: 50 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:07:59 | Logical Clock: 52 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:07:59 | Logical Clock: 53 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:08:00 | Logical Clock: 55 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:08:00 | Logical Clock: 56 | Queue Length: 3
2> Event: Processed message | System Time: 2025-02-28 19:08:00 | Logical Clock: 58 | Queue Length: 3
2> Event: Processed message | System Time: 2025-02-28 19:08:01 | Logical Clock: 59 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:08:01 | Logical Clock: 60 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:08:01 | Logical Clock: 64 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:08:02 | Logical Clock: 67 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:08:02 | Logical Clock: 68 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:08:02 | Logical Clock: 69 | Queue Length: 1
