2> Event: Initialized on 54321 with clock rate 2 | System Time: 2025-02-28 19:06:47 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 19:06:47 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 19:06:47 | Logical Clock: 0 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:06:48 | Logical Clock: 2 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:48 | Logical Clock: 3 | Queue Length: 3
2> Event: Processed message | System Time: 2025-02-28 19:06:49 | Logical Clock: 4 | Queue Length: 4
2> Event: Processed message | System Time: 2025-02-28 19:06:49 | Logical Clock: 6 | Queue Length: 3
2> Event: Processed message | System Time: 2025-02-28 19:06:50 | Logical Clock: 7 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:50 | Logical Clock: 9 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:51 | Logical Clock: 17 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:51 | Logical Clock: 21 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:52 | Logical Clock: 24 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:52 | Logical Clock: 25 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:53 | Logical Clock: 30 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:06:53 | Logical Clock: 34 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:54 | Logical Clock: 35 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:06:54 | Logical Clock: 41 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:06:55 | Logical Clock: 42 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:06:55 | Logical Clock: 46 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:06:56 | Logical Clock: 47 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:06:56 | Logical Clock: 47 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:06:56 | Logical Clock: 48 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:06:57 | Logical Clock: 49 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:06:57 | Logical Clock: 59 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:06:58 | Logical Clock: 60 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:58 | Logical Clock: 62 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:06:59 | Logical Clock: 63 | Queue Length: 4
2> Event: Processed message | System Time: 2025-02-28 19:06:59 | Logical Clock: 66 | Queue Length: 5
2> Event: Processed message | System Time: 2025-02-28 19:07:00 | Logical Clock: 67 | Queue Length: 7
2> Event: Processed message | System Time: 2025-02-28 19:07:00 | Logical Clock: 68 | Queue Length: 6
2> Event: Processed message | System Time: 2025-02-28 19:07:01 | Logical Clock: 69 | Queue Length: 7
2> Event: Processed message | System Time: 2025-02-28 19:07:01 | Logical Clock: 70 | Queue Length: 7
2> Event: Processed message | System Time: 2025-02-28 19:07:02 | Logical Clock: 72 | Queue Length: 8
2> Event: Processed message | System Time: 2025-02-28 19:07:02 | Logical Clock: 73 | Queue Length: 9
2> Event: Processed message | System Time: 2025-02-28 19:07:03 | Logical Clock: 74 | Queue Length: 10
2> Event: Processed message | System Time: 2025-02-28 19:07:03 | Logical Clock: 78 | Queue Length: 11
2> Event: Processed message | System Time: 2025-02-28 19:07:04 | Logical Clock: 80 | Queue Length: 11
2> Event: Processed message | System Time: 2025-02-28 19:07:04 | Logical Clock: 81 | Queue Length: 12
2> Event: Processed message | System Time: 2025-02-28 19:07:05 | Logical Clock: 84 | Queue Length: 12
2> Event: Processed message | System Time: 2025-02-28 19:07:06 | Logical Clock: 85 | Queue Length: 11
2> Event: Processed message | System Time: 2025-02-28 19:07:06 | Logical Clock: 86 | Queue Length: 11
2> Event: Processed message | System Time: 2025-02-28 19:07:07 | Logical Clock: 87 | Queue Length: 11
2> Event: Processed message | System Time: 2025-02-28 19:07:07 | Logical Clock: 89 | Queue Length: 10
2> Event: Processed message | System Time: 2025-02-28 19:07:08 | Logical Clock: 90 | Queue Length: 10
2> Event: Processed message | System Time: 2025-02-28 19:07:08 | Logical Clock: 93 | Queue Length: 12
2> Event: Processed message | System Time: 2025-02-28 19:07:09 | Logical Clock: 94 | Queue Length: 12
2> Event: Processed message | System Time: 2025-02-28 19:07:09 | Logical Clock: 96 | Queue Length: 12
2> Event: Processed message | System Time: 2025-02-28 19:07:10 | Logical Clock: 98 | Queue Length: 13
2> Event: Processed message | System Time: 2025-02-28 19:07:10 | Logical Clock: 100 | Queue Length: 14
2> Event: Processed message | System Time: 2025-02-28 19:07:11 | Logical Clock: 103 | Queue Length: 14
2> Event: Processed message | System Time: 2025-02-28 19:07:11 | Logical Clock: 108 | Queue Length: 14
2> Event: Processed message | System Time: 2025-02-28 19:07:12 | Logical Clock: 112 | Queue Length: 15
2> Event: Processed message | System Time: 2025-02-28 19:07:12 | Logical Clock: 117 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:07:13 | Logical Clock: 119 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:07:13 | Logical Clock: 120 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:07:14 | Logical Clock: 121 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:07:14 | Logical Clock: 124 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:07:15 | Logical Clock: 125 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:07:15 | Logical Clock: 129 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:07:16 | Logical Clock: 130 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:07:16 | Logical Clock: 131 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:07:17 | Logical Clock: 132 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:07:17 | Logical Clock: 134 | Queue Length: 16
2> Event: Processed message | System Time: 2025-02-28 19:07:18 | Logical Clock: 138 | Queue Length: 16
2> Event: Processed message | System Time: 2025-02-28 19:07:18 | Logical Clock: 140 | Queue Length: 16
2> Event: Processed message | System Time: 2025-02-28 19:07:19 | Logical Clock: 141 | Queue Length: 16
2> Event: Processed message | System Time: 2025-02-28 19:07:19 | Logical Clock: 142 | Queue Length: 15
2> Event: Processed message | System Time: 2025-02-28 19:07:20 | Logical Clock: 143 | Queue Length: 16
2> Event: Processed message | System Time: 2025-02-28 19:07:20 | Logical Clock: 144 | Queue Length: 17
2> Event: Processed message | System Time: 2025-02-28 19:07:21 | Logical Clock: 145 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:07:21 | Logical Clock: 148 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:07:22 | Logical Clock: 149 | Queue Length: 19
2> Event: Processed message | System Time: 2025-02-28 19:07:22 | Logical Clock: 154 | Queue Length: 18
2> Event: Processed message | System Time: 2025-02-28 19:07:23 | Logical Clock: 156 | Queue Length: 19
2> Event: Processed message | System Time: 2025-02-28 19:07:23 | Logical Clock: 158 | Queue Length: 19
2> Event: Processed message | System Time: 2025-02-28 19:07:24 | Logical Clock: 163 | Queue Length: 20
2> Event: Processed message | System Time: 2025-02-28 19:07:24 | Logical Clock: 166 | Queue Length: 21
2> Event: Processed message | System Time: 2025-02-28 19:07:25 | Logical Clock: 167 | Queue Length: 21
2> Event: Processed message | System Time: 2025-02-28 19:07:25 | Logical Clock: 174 | Queue Length: 22
2> Event: Processed message | System Time: 2025-02-28 19:07:26 | Logical Clock: 179 | Queue Length: 23
2> Event: Processed message | System Time: 2025-02-28 19:07:26 | Logical Clock: 180 | Queue Length: 24
2> Event: Processed message | System Time: 2025-02-28 19:07:27 | Logical Clock: 186 | Queue Length: 23
2> Event: Processed message | System Time: 2025-02-28 19:07:27 | Logical Clock: 188 | Queue Length: 23
2> Event: Processed message | System Time: 2025-02-28 19:07:28 | Logical Clock: 189 | Queue Length: 25
2> Event: Processed message | System Time: 2025-02-28 19:07:28 | Logical Clock: 191 | Queue Length: 25
2> Event: Processed message | System Time: 2025-02-28 19:07:29 | Logical Clock: 192 | Queue Length: 25
2> Event: Processed message | System Time: 2025-02-28 19:07:29 | Logical Clock: 193 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:30 | Logical Clock: 197 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:30 | Logical Clock: 199 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:31 | Logical Clock: 200 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:31 | Logical Clock: 204 | Queue Length: 25
2> Event: Processed message | System Time: 2025-02-28 19:07:32 | Logical Clock: 206 | Queue Length: 24
2> Event: Processed message | System Time: 2025-02-28 19:07:32 | Logical Clock: 207 | Queue Length: 23
2> Event: Processed message | System Time: 2025-02-28 19:07:33 | Logical Clock: 210 | Queue Length: 24
2> Event: Processed message | System Time: 2025-02-28 19:07:33 | Logical Clock: 212 | Queue Length: 24
2> Event: Processed message | System Time: 2025-02-28 19:07:34 | Logical Clock: 213 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:34 | Logical Clock: 214 | Queue Length: 25
2> Event: Processed message | System Time: 2025-02-28 19:07:35 | Logical Clock: 215 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:35 | Logical Clock: 218 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:36 | Logical Clock: 220 | Queue Length: 27
2> Event: Processed message | System Time: 2025-02-28 19:07:36 | Logical Clock: 221 | Queue Length: 27
2> Event: Processed message | System Time: 2025-02-28 19:07:37 | Logical Clock: 222 | Queue Length: 26
2> Event: Processed message | System Time: 2025-02-28 19:07:37 | Logical Clock: 225 | Queue Length: 27
2> Event: Processed message | System Time: 2025-02-28 19:07:38 | Logical Clock: 226 | Queue Length: 28
