3> Event: Initialized on 8080 with clock rate 1 | System Time: 2025-02-28 18:54:43 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 18:54:43 | Logical Clock: 0 | Queue Length: 0
3> Event: Connected to machine 2 on port 54321 | System Time: 2025-02-28 18:54:43 | Logical Clock: 0 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:54:44 | Logical Clock: 1 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:54:44 | Logical Clock: 1 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:54:45 | Logical Clock: 2 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:54:46 | Logical Clock: 3 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:54:47 | Logical Clock: 4 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:54:48 | Logical Clock: 5 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:54:49 | Logical Clock: 6 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:54:50 | Logical Clock: 13 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:54:51 | Logical Clock: 14 | Queue Length: 0
3> Event: Sent message to machine 1 | System Time: 2025-02-28 18:54:52 | Logical Clock: 15 | Queue Length: 0
3> Event: Sent message to machine 2 | System Time: 2025-02-28 18:54:52 | Logical Clock: 15 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:54:53 | Logical Clock: 16 | Queue Length: 0
3> Event: Internal event | System Time: 2025-02-28 18:54:54 | Logical Clock: 17 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:54:55 | Logical Clock: 19 | Queue Length: 1
3> Event: Internal event | System Time: 2025-02-28 18:54:56 | Logical Clock: 20 | Queue Length: 0
3> Event: Processed message | System Time: 2025-02-28 18:54:57 | Logical Clock: 21 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 18:54:58 | Logical Clock: 28 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:54:59 | Logical Clock: 32 | Queue Length: 1
3> Event: Processed message | System Time: 2025-02-28 18:55:00 | Logical Clock: 33 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 18:55:01 | Logical Clock: 34 | Queue Length: 2
3> Event: Processed message | System Time: 2025-02-28 18:55:02 | Logical Clock: 36 | Queue Length: 2
